direccion	tamano	nombre_ghidra	decompila_limpio	estado	nota
800131a8	8	FUN_800131a8	si	DISTINTO	cc1-27 mete un nop de mas antes del salto a si mismo en cuerpos triviales; el m2c genera un goto igual pero el codigo real no lleva ese nop
80023740	8	FUN_80023740	si	IGUAL	
8003c340	8	FUN_8003c340	si	IGUAL	
8004486c	8	FUN_8004486c	si	DISTINTO	cc1-27 mete un nop de mas al inicio de una funcion vacia {}; limitacion del compilador en cuerpos triviales, no del C
8004a090	8	FUN_8004a090	si	IGUAL	
80012820	12	FUN_80012820	si	IGUAL	
80027c94	12	FUN_80027c94	si	NO_COMPILA	saved_reg_gp: acceso $gp-relativo sin simbolo de dato conocido, falta resolver el mapa de datos
80044b34	12	FUN_80044b34	si	NO_COMPILA	saved_reg_gp: acceso $gp-relativo sin simbolo de dato conocido, falta resolver el mapa de datos
80045978	12	FUN_80045978	si	NO_COMPILA	saved_reg_gp: acceso $gp-relativo sin simbolo de dato conocido, falta resolver el mapa de datos
800463a8	12	FUN_800463a8	si	NO_COMPILA	saved_reg_gp: acceso $gp-relativo sin simbolo de dato conocido, falta resolver el mapa de datos
80050d9c	12	FUN_80050d9c	si	NO_COMPILA	borrador de m2c devuelve un puntero a funcion sin tipo (?); falta declarar el tipo real de func_8006915C
80053ee0	12	FUN_80053ee0	si	NO_COMPILA	cambia $sp a mano en el hueco de retardo del jr (SetSp); necesita funcion naked/asm puro, cc1-27 no soporta naked aqui
80054da0	12	FUN_80054da0	si	DISTINTO	cc1-27 no mueve el store al hueco de retardo del jr (sh antes de j en vez de en el delay slot); limitacion de scheduling del compilador, mismo bytes, distinto orden
80056550	12	FUN_80056550	si	NO_COMPILA	m2c no puede resolver la tabla de saltos (jr con jump table); necesita trabajo manual
80057a98	12	FUN_80057a98	si	NO_COMPILA	m2c no puede resolver la tabla de saltos (jr con jump table); necesita trabajo manual
80059f34	12	FUN_80059f34	si	NO_COMPILA	m2c hace arg0->campo sobre un void*; falta la struct real para los offsets 0x28/0x34
8005f7b0	12	FUN_8005f7b0	si	DISTINTO	cc1-27 no mueve el store al hueco de retardo del jr (sh antes de j en vez de en el delay slot); limitacion de scheduling del compilador, mismo bytes, distinto orden
80027cb4	16	FUN_80027cb4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027cb4.c:3: for each function it appears in.)
80042b24	16	FUN_80042b24	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80042b24.c:3: for each function it appears in.)
8004af5c	16	FUN_8004af5c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004af5c.*
80050d7c	16	FUN_80050d7c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80050d7c.c:(.text+0x4): undefined reference to `D_80069150'
80050d8c	16	FUN_80050d8c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80050d8c.*
80054d90	16	FUN_80054d90	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80054d90.*
80055608	16	FUN_80055608	si	NO_COMPILA	NO_COMPILA (ld): src/croc2exe/FUN_80055608.c:(.text+0x8): undefined reference to `M2C_ERROR'
80056148	16	FUN_80056148	si	NO_COMPILA	NO_COMPILA (ld): src/croc2exe/FUN_80056148.c:(.text+0x8): undefined reference to `M2C_ERROR'
800565c8	16	FUN_800565c8	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_800565c8.c:(.text+0x4): undefined reference to `D_800690E4'
8005fde0	16	FUN_8005fde0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005fde0.c:(.text+0x4): undefined reference to `D_8006E35C'
8006133c	16	FUN_8006133c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8006133c.*
80027ca0	20	FUN_80027ca0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027ca0.c:3: for each function it appears in.)
8004ee1c	20	FUN_8004ee1c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004ee1c.*
80050e08	20	FUN_80050e08	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80050e08.c:(.text+0xc): undefined reference to `D_80069144'
80050e1c	20	FUN_80050e1c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80050e1c.c:(.text+0xc): undefined reference to `D_80069148'
8005aa98	20	FUN_8005aa98	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aa98.c:5: request for member `unk36' in something not a structure or union
8005ab0c	20	FUN_8005ab0c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005ab0c.c:5: request for member `unk36' in something not a structure or union
80018fa0	24	FUN_80018fa0	si	IGUAL	
8003c5c0	24	FUN_8003c5c0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003c5c0.c:5: for each function it appears in.)
80043480	24	FUN_80043480	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043480.c:5: `D_800653C8' undeclared (first use this function)
8004af6c	24	FUN_8004af6c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004af6c.c:(.text+0x4): undefined reference to `D_800684B8'
800531a0	24	FUN_800531a0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_800531a0.c:(.text+0xc): undefined reference to `D_8006D654'
800557f8	24	FUN_800557f8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800557f8.c:6: request for member `unk1B2' in something not a structure or union
8005b708	24	FUN_8005b708	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b708.c:(.text+0x4): undefined reference to `D_8006D660'
8002df94	28	FUN_8002df94	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002df94.c:6: request for member `unk6' in something not a structure or union
8004a074	28	FUN_8004a074	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004a074.*
8004c6d8	28	FUN_8004c6d8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004c6d8.*
80054c00	28	FUN_80054c00	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80054c00.c:5: invalid type argument of `->'
80013244	32	FUN_80013244	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013244.c:6: for each function it appears in.)
80027c54	32	FUN_80027c54	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027c54.c:5: warning: implicit declaration of function `FUN_800279e4'
80027c74	32	FUN_80027c74	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027c74.c:5: warning: implicit declaration of function `FUN_800279e4'
80029fc0	32	FUN_80029fc0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80029fc0.c:3: for each function it appears in.)
8002d61c	32	FUN_8002d61c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002d61c.c:6: for each function it appears in.)
8004c588	32	FUN_8004c588	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004c588.*
80050da8	32	FUN_80050da8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050da8.c:5: warning: implicit declaration of function `FUN_80058a68'
80050dc8	32	FUN_80050dc8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050dc8.c:5: warning: implicit declaration of function `FUN_8005808c'
80050de8	32	FUN_80050de8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050de8.c:5: warning: implicit declaration of function `FUN_8005830c'
800511ec	32	FUN_800511ec	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800511ec.c:5: warning: implicit declaration of function `FUN_800589e0'
8005120c	32	FUN_8005120c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8005120c.*
8005122c	32	FUN_8005122c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8005122c.*
80051270	32	FUN_80051270	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80051270.c:5: warning: implicit declaration of function `FUN_80058e0c'
80052634	32	FUN_80052634	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80052634.c:5: warning: implicit declaration of function `FUN_8004f870'
8005aa78	32	FUN_8005aa78	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aa78.c:6: request for member `unk36' in something not a structure or union
8005aaac	32	FUN_8005aaac	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aaac.c:6: request for member `unk36' in something not a structure or union
8005aacc	32	FUN_8005aacc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aacc.c:6: request for member `unk36' in something not a structure or union
8005aaec	32	FUN_8005aaec	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aaec.c:6: request for member `unk36' in something not a structure or union
8005f4d0	32	FUN_8005f4d0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005f4d0.c:5: warning: implicit declaration of function `_SpuInit'
800613dc	32	FUN_800613dc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800613dc.c:5: warning: implicit declaration of function `SpuSetReverb'
8006191c	32	FUN_8006191c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8006191c.c:5: warning: implicit declaration of function `SpuSetReverb'
80012784	36	FUN_80012784	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80012784.c:5: for each function it appears in.)
8001288c	36	FUN_8001288c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8001288c.c:5: for each function it appears in.)
800128b0	36	FUN_800128b0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800128b0.c:5: for each function it appears in.)
80014958	36	FUN_80014958	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80014958.c:4: warning: implicit declaration of function `M2C_ERROR'
8002de6c	36	FUN_8002de6c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002de6c.c:5: for each function it appears in.)
8003471c	36	FUN_8003471c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003471c.c:3: warning: `var_v1' might be used uninitialized in this function
8004b48c	36	FUN_8004b48c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004b48c.*
8004cf58	36	FUN_8004cf58	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004cf58.c:7: for each function it appears in.)
8004da48	36	FUN_8004da48	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004da48.*
8005124c	36	FUN_8005124c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005124c.c:5: warning: implicit declaration of function `FUN_8004aec8'
80052e40	36	FUN_80052e40	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80052e40.c:5: request for member `unk8' in something not a structure or union
800556f8	36	FUN_800556f8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800556f8.c:5: warning: implicit declaration of function `_SpuSetAnyVoice'
80061b58	36	FUN_80061b58	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80061b58.c:5: warning: implicit declaration of function `FUN_8004aec8'
80061ba8	36	FUN_80061ba8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80061ba8.c:5: warning: implicit declaration of function `_SpuSetAnyVoice'
80010b34	40	FUN_80010b34	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80010b34.c:7: `func_80010AF4' undeclared (first use this function)
80028c58	40	FUN_80028c58	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028c58.c:3: warning: `var_v1' might be used uninitialized in this function
80045e5c	40	FUN_80045e5c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045e5c.c:7: warning: implicit declaration of function `SpuSetCommonCDMix'
80050278	40	FUN_80050278	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050278.c:7: request for member `unk4' in something not a structure or union
80053d80	40	FUN_80053d80	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: build/verificar/FUN_80053d80.o:src/croc2exe/FUN_80053d80.c:(.text+0x34): more undefined references to `M2C_ERROR' follow
80053da8	40	FUN_80053da8	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: build/verificar/FUN_80053da8.o:src/croc2exe/FUN_80053da8.c:(.text+0x34): more undefined references to `M2C_ERROR' follow
80054bd0	40	FUN_80054bd0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80054bd0.c:8: for each function it appears in.)
8005b5f8	40	FUN_8005b5f8	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b5f8.c:(.text+0x4): undefined reference to `D_8006D640'
8005b620	40	FUN_8005b620	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b620.c:(.text+0x4): undefined reference to `D_8006D640'
8005b6e0	40	FUN_8005b6e0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b6e0.c:(.text+0x20): undefined reference to `D_8006D660'
80012860	44	FUN_80012860	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80012860.c:5: for each function it appears in.)
8001492c	44	FUN_8001492c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8001492c.c:6: for each function it appears in.)
